ambitieux,positive
amélioraient,positive
améliorait,positive
amélioration,positive
améliore,positive
améliorée,positive
améliorer,positive
anti,negative
attirant,positive
attire,positive
attires,positive
attractivité,positive
avantage,positive
bien,positive
blocage,negative
blocages,negative
bon,positive
bonne,positive
bonnes,positive
bons,positive
chaleureux,positive
chômage,negative
compromet,negative
compromettant,negative
compromettent,negative
compromettre,negative
confiance,positive
conséquente,positive
conséquentes,positive
contestable,negative
contestation,negative
cordial,positive
crise,negative
crise,negative
crises,negative
critique,negative
critiqué,negative
critiquée,negative
critiquées,negative
critiquer,negative
croissance,positive
croissant,positive
croissant,positive
danger,negative
dangereuse,negative
dangereuses,negative
dangereux,negative
déficit,negative
dégrader,negative
dégrader,negative
dépréciation,negative
déprécie,negative
développement,positive
développer,positive
difficile,negative
difficilement,negative
difficulté,negative
discutable,positive
efficace,positive
efficacement,positive
efforts,positive
erreur,negative
étroite,negative
faciliter,positive
faiblesse,negative
fiable,positive
fléau,negative
gagne,positive
gagner,positive
garantie,positive
garantir,positive
honneur,positive
manque,negative
meilleure,positive
menace,negative
négatif,negative
négative,negative
perdre,negative
performant,positive
perturber,negative
peur,negative
piraterie,negative
pire,negative
positif,positive
progresser,positive
progression,positive
progressivité,positive
puissance,positive
puissance,positive
récession,negative
réduction,positive
refusé,negative
refuser,negative
rejeter,negative
retardé,negative
retardé,negative
retarder,negative
réussi,positive
réussir,positive
réussit,positive
réussite,positive
réussite,positive
stabilisation,positive
succès,positive
sûreté,positive
tremplin,positive
rebondir,positive
rebondi,positive
rebondie,positive
rebondis,positive
rebondies,positive
sérénité,positive
douleur,negative
douloureusement,negative
douloureux,negative
âpre,negative
meilleur,positive
meilleures,positive
meilleurs,positive
intéressant,positive
aggravation,negative
détérioration,negative
aggrave,negative
dégradation,negative
instabilité,negative
